Amazon Link, Title, Author
http://www.amazon.com/exec/obidos/ASIN/0201379430/ref=nosim/deliciousmons-20, Object Design: Roles  Responsibilities  and Collaborations, Rebecca Wirfs-Brock  Alan McKean  
http://www.amazon.com/exec/obidos/ASIN/0134724321/ref=nosim/deliciousmons-20, Object Lessons: Lessons Learned in Object-Oriented Development Projects, Tom Love  
http://www.amazon.com/exec/obidos/ASIN/0136299407/ref=nosim/deliciousmons-20, Object Life Cycles: Modeling the World In States, Stephen J. Mellor  Sally Shlaer  
http://www.amazon.com/exec/obidos/ASIN/0138401179/ref=nosim/deliciousmons-20, Object Models: Strategies  Patterns  and Applications, Peter Coad  David North  Mark Mayfield  
http://www.amazon.com/exec/obidos/ASIN/0136059406/ref=nosim/deliciousmons-20, Object-Oriented Common LISP, Stephen Slade  
http://www.amazon.com/exec/obidos/ASIN/0262240262/ref=nosim/deliciousmons-20, Object-Oriented Concurrent Programming, Akinori Yonezawa  Mario Tokoro  
http://www.amazon.com/exec/obidos/ASIN/1558606874/ref=nosim/deliciousmons-20, Object-Oriented Construction Handbook: Developing Application-Oriented Software with the Tools & Materials Approach, Heinz ZÃ¼llighoven  
http://www.amazon.com/exec/obidos/ASIN/0201175894/ref=nosim/deliciousmons-20, Object-Oriented Programming in Common Lisp: A Programmer's Guide to CLOS, Sonya E. Keene  
http://www.amazon.com/exec/obidos/ASIN/0262661756/ref=nosim/deliciousmons-20, Object-Oriented Programming: The CLOS Perspective, Andreas Paepcke  
http://www.amazon.com/exec/obidos/ASIN/1558601910/ref=nosim/deliciousmons-20, Paradigms of Artificial Intelligence Programming: Case Studies in Common Lisp, Peter Norvig  
http://www.amazon.com/exec/obidos/ASIN/0070512949/ref=nosim/deliciousmons-20, Parallel Computing: Theory and Practice, Michael J. Quinn  
http://www.amazon.com/exec/obidos/ASIN/0387527826/ref=nosim/deliciousmons-20, Parallel Lisp: Languages and Systems, Us  Japan Workshop on Parallel Lisp  T. Ito  Robert H. Halstead  R. H.  Jr. Halstead  
http://www.amazon.com/exec/obidos/ASIN/0070316066/ref=nosim/deliciousmons-20, Parallel Processing for Supercomputers and Artificial Intelligence, Kai Hwang  Doug Degroot  
http://www.amazon.com/exec/obidos/ASIN/0131405632/ref=nosim/deliciousmons-20, Parallel Programming: Techniques and Applications Using Networked Workstations and Parallel Computers, Barry Wilkinson  Michael Allen  
http://www.amazon.com/exec/obidos/ASIN/1886529019/ref=nosim/deliciousmons-20, Parallel and Distributed Computation: Numerical Methods, Dimitri P. Bertsekas  
http://www.amazon.com/exec/obidos/ASIN/0201607344/ref=nosim/deliciousmons-20, Pattern Languages of Program Design, James O. Coplien  Douglas C. Schmidt  
http://www.amazon.com/exec/obidos/ASIN/0201895277/ref=nosim/deliciousmons-20, Pattern Languages of Program Design 2, John M. Vlissides  James O. Coplien  Norman L. Kerth  
http://www.amazon.com/exec/obidos/ASIN/0201310112/ref=nosim/deliciousmons-20, Pattern Languages of Program Design 3, Robert C. Martin  Dirk Riehle  Frank Buschmann  
http://www.amazon.com/exec/obidos/ASIN/0201433044/ref=nosim/deliciousmons-20, Pattern Languages of Program Design 4, Neil Harrison  Brian Foote  Hans Rohnert  
http://www.amazon.com/exec/obidos/ASIN/0321321944/ref=nosim/deliciousmons-20, Pattern Languages of Program Design 5, Dragos Manolescu  Markus Voelter  James Noble  
http://www.amazon.com/exec/obidos/ASIN/0471958697/ref=nosim/deliciousmons-20, Pattern-Oriented Software Architecture Volume 1: A System of Patterns, Frank Buschmann  Regine Meunier  Hans Rohnert  Peter Sommerlad  Michael Stal  
http://www.amazon.com/exec/obidos/ASIN/0471606952/ref=nosim/deliciousmons-20, Pattern-Oriented Software Architecture Volume 2: Patterns for Concurrent and Networked Objects, Douglas Schmidt  Michael Stal  Hans Rohnert  Frank Buschmann  
http://www.amazon.com/exec/obidos/ASIN/0470059028/ref=nosim/deliciousmons-20, Pattern-Oriented Software Architecture Volume 4: A Pattern Language for Distributed Computing, Frank Buschmann  Kevlin Henney  Douglas C. Schmidt  
http://www.amazon.com/exec/obidos/ASIN/0470319798/ref=nosim/deliciousmons-20, Patterns for Fault Tolerant Software, Robert Hanmer  
http://www.amazon.com/exec/obidos/ASIN/0321228111/ref=nosim/deliciousmons-20, Patterns for Parallel Programming, Timothy G. Mattson  Beverly A. Sanders  Berna L. Massingill  
http://www.amazon.com/exec/obidos/ASIN/0321127420/ref=nosim/deliciousmons-20, Patterns of Enterprise Application Architecture, Martin Fowler  
http://www.amazon.com/exec/obidos/ASIN/0932633439/ref=nosim/deliciousmons-20, Peopleware: Productive Projects and Teams, Tom DeMarco  Timothy Lister  
http://www.amazon.com/exec/obidos/ASIN/0262070936/ref=nosim/deliciousmons-20, Performance and Evaluation of Lisp Systems, Richard P. Gabriel  
http://www.amazon.com/exec/obidos/ASIN/0201727897/ref=nosim/deliciousmons-20, The Power of Events: An Introduction to Complex Event Processing in Distributed Enterprise Systems, David Luckham  
http://www.amazon.com/exec/obidos/ASIN/1590592395/ref=nosim/deliciousmons-20, Practical Common Lisp, Peter Seibel  
http://www.amazon.com/exec/obidos/ASIN/159059620X/ref=nosim/deliciousmons-20, Practical OCaml, Joshua B. Smith  
http://www.amazon.com/exec/obidos/ASIN/059512674X/ref=nosim/deliciousmons-20, The Practical Performance Analyst, Neil Gunther  
http://www.amazon.com/exec/obidos/ASIN/0596008740/ref=nosim/deliciousmons-20, Prefactoring: Extreme Abstraction  Extreme Separation  Extreme Readability, Ken Pugh  
http://www.amazon.co.uk/exec/obidos/ASIN/0136079385/ref=nosim/deliciousmons-21, The Principles of Distributed Databases, M. Tamer Ozsu  Patrick Valduriez  
http://www.amazon.com/exec/obidos/ASIN/1558604154/ref=nosim/deliciousmons-20, Principles of Transaction Processing for the Systems Professional, Philip A. Bernstein  Eric Newcomer  
http://www.amazon.com/exec/obidos/ASIN/0201788934/ref=nosim/deliciousmons-20, Principles of the Business Rule Approach, Ronald G. Ross  
http://www.amazon.com/exec/obidos/ASIN/0262013193/ref=nosim/deliciousmons-20, Probabilistic Graphical Models: Principles and Techniques, Daphne Koller  Nir Friedman  
http://www.amazon.com/exec/obidos/ASIN/0471333417/ref=nosim/deliciousmons-20, Probability and Statistics with Reliability  Queueing  and Computer Science Applications  2nd Edition, Kishor Shridharbhai Trivedi  
http://www.amazon.com/exec/obidos/ASIN/B000PGHBQ0/ref=nosim/deliciousmons-20, Problem-Solving Methods in Artificial Intelligence, nils nilsson  
http://www.amazon.com/exec/obidos/ASIN/0596529325/ref=nosim/deliciousmons-20, Programming Collective Intelligence: Building Smart Web 2.0 Applications, Toby Segaran  
http://www.amazon.com/exec/obidos/ASIN/193435600X/ref=nosim/deliciousmons-20, Programming Erlang: Software for a Concurrent World, Joe Armstrong  
http://www.amazon.com/exec/obidos/ASIN/B001M9B084/ref=nosim/deliciousmons-20, Programming Language Concepts 2/E, Carlo; Jazayeri  Mehdi Ghezzi  
http://www.amazon.com/exec/obidos/ASIN/0470853204/ref=nosim/deliciousmons-20, Programming Language Design Concepts, David A. Watt  
http://www.amazon.com/exec/obidos/ASIN/0123745144/ref=nosim/deliciousmons-20, Programming Language Pragmatics  Third Edition, Michael L. Scott  
http://www.amazon.com/exec/obidos/ASIN/0130257869/ref=nosim/deliciousmons-20, Programming Language Processors in Java: Compilers and Interpreters, David Watt  Deryck Brown  
http://www.amazon.com/exec/obidos/ASIN/0072866098/ref=nosim/deliciousmons-20, Programming Languages, Allen Tucker  Robert Noonan  
http://www.amazon.com/exec/obidos/ASIN/0201590654/ref=nosim/deliciousmons-20, Programming Languages: Concepts and Constructs, Ravi Sethi  
http://www.amazon.com/exec/obidos/ASIN/0534932770/ref=nosim/deliciousmons-20, Programming Languages: Principles and Practice, Kenneth C. Louden  
http://www.amazon.com/exec/obidos/ASIN/0070546665/ref=nosim/deliciousmons-20, Programming Paradigms in Lisp, Rajeev Sangal  
http://www.amazon.com/exec/obidos/ASIN/0387983201/ref=nosim/deliciousmons-20, Programming and Meta-Programming in Scheme, Jon Pearce  
http://www.amazon.com/exec/obidos/ASIN/0201416212/ref=nosim/deliciousmons-20, Programming for Artificial Intelligence: Methods  Tools  and Applications, Wolfgang Kreutzer  Bruce McKenzie  
http://www.amazon.com/exec/obidos/ASIN/0521692695/ref=nosim/deliciousmons-20, Programming in Haskell, Graham Hutton  
http://www.amazon.com/exec/obidos/ASIN/0262550172/ref=nosim/deliciousmons-20, Programming in Scheme: Trade Edition, Michael Eisenberg  Harold Abelson  
http://www.amazon.com/exec/obidos/ASIN/0932633447/ref=nosim/deliciousmons-20, Project Retrospectives: A Handbook for Team Reviews, Norman L. Kerth  
http://www.amazon.com/exec/obidos/ASIN/0201403757/ref=nosim/deliciousmons-20, Prolog Programming for Artificial Intelligence, Ivan Bratko  
http://www.amazon.com/exec/obidos/ASIN/B000OOQNX0/ref=nosim/deliciousmons-20, Prolog Programming: Applications for Database Systems  Expert Systems  and Natural Language Systems, Claudia Marcus  
http://www.amazon.com/exec/obidos/ASIN/0521663504/ref=nosim/deliciousmons-20, Purely Functional Data Structures, Chris Okasaki  
http://www.amazon.com/exec/obidos/ASIN/0471491101/ref=nosim/deliciousmons-20, Queueing Systems. Volume 1: Theory, Leonard Kleinrock  
http://www.amazon.com/exec/obidos/ASIN/0471491101/ref=nosim/deliciousmons-20, Queueing Systems. Volume 1: Theory, Leonard Kleinrock  
http://www.amazon.com/exec/obidos/ASIN/0596805829/ref=nosim/deliciousmons-20, REST in Practice: Hypermedia and Systems Architecture, Jim Webber  Savas Parastatidis  Ian Robinson  
http://www.amazon.com/exec/obidos/ASIN/0130094862/ref=nosim/deliciousmons-20, Radical Project Management, Rob Thomsett  
http://www.amazon.com/exec/obidos/ASIN/0262562146/ref=nosim/deliciousmons-20, The Reasoned Schemer, Daniel P. Friedman  William E. Byrd  Oleg Kiselyov  
http://www.amazon.com/exec/obidos/ASIN/0201485672/ref=nosim/deliciousmons-20, Refactoring: Improving the Design of Existing Code, Martin Fowler  Kent Beck  John Brant  William Opdyke  Don Roberts  
http://www.amazon.com/exec/obidos/ASIN/0262193981/ref=nosim/deliciousmons-20, Reinforcement Learning: An Introduction, Richard S. Sutton  Andrew G. Barto  
http://www.amazon.com/exec/obidos/ASIN/0470023686/ref=nosim/deliciousmons-20, Scenarios: The Art of Strategic Conversation, Kees van der Heijden  
http://www.amazon.com/exec/obidos/ASIN/026251298X/ref=nosim/deliciousmons-20, The Scheme Programming Language  4th Edition, R. Kent Dybvig  
http://www.amazon.com/exec/obidos/ASIN/0072389893/ref=nosim/deliciousmons-20, Scheme and the Art of Programming, George Springer  Daniel Friedman  
http://www.amazon.com/exec/obidos/ASIN/0262691914/ref=nosim/deliciousmons-20, The Sciences of the Artificial - 3rd Edition, Herbert A. Simon  
http://www.amazon.com/exec/obidos/ASIN/026256100X/ref=nosim/deliciousmons-20, The Seasoned Schemer, Daniel P. Friedman  Matthias Felleisen  
http://www.amazon.com/exec/obidos/ASIN/0201136880/ref=nosim/deliciousmons-20, Smalltalk 80: The Language, Adele Goldberg  David Robson  
http://www.amazon.com/exec/obidos/ASIN/0262522349/ref=nosim/deliciousmons-20, Software Agents, Jeffrey M. Bradshaw  
http://www.amazon.com/exec/obidos/ASIN/0471627658/ref=nosim/deliciousmons-20, Software Reliability: Principles and Practices, Glenford J. Myers  
http://www.amazon.com/exec/obidos/ASIN/020103669X/ref=nosim/deliciousmons-20, Software Tools, Brian W. Kernighan  P. J. Plauger  
http://www.amazon.com/exec/obidos/ASIN/0130280283/ref=nosim/deliciousmons-20, Squeak: Object-Oriented Design with Multimedia Applications, Mark J. Guzdial  
http://www.amazon.com/exec/obidos/ASIN/0130280917/ref=nosim/deliciousmons-20, Squeak: Open Personal Computing and Multimedia, Mark J. Guzdial  Kimberly M. Rose  
http://www.amazon.com/exec/obidos/ASIN/0262510871/ref=nosim/deliciousmons-20, Structure and Interpretation of Computer Programs - 2nd Edition, Harold Abelson  Gerald Jay Sussman  
http://www.amazon.com/exec/obidos/ASIN/3937526005/ref=nosim/deliciousmons-20, Successful Lisp: How to Understand and Use Common Lisp, David B. Lamkins  
http://www.amazon.com/exec/obidos/ASIN/0471607711/ref=nosim/deliciousmons-20, Symbolic Computing With Lisp and Prolog, Robert A. Mueller  Rex L. Page  
http://www.amazon.com/exec/obidos/ASIN/0262100770/ref=nosim/deliciousmons-20, Systems That Learn - 2nd Edition: An Introduction to Learning Theory, Sanjay Jain  Daniel N. Osherson  James S. Royer  Arun Sharma  
http://www.amazon.com/exec/obidos/ASIN/0201633469/ref=nosim/deliciousmons-20, TCP/IP Illustrated  Vol. 1: The Protocols, W. Richard Stevens  
http://www.amazon.com/exec/obidos/ASIN/1584504609/ref=nosim/deliciousmons-20, Text Mining Application Programming, Manu Konchady  
http://www.amazon.com/exec/obidos/ASIN/0716707233/ref=nosim/deliciousmons-20, The Thinking Computer: Mind Inside Matter, Bertram Raphael  
http://www.amazon.com/exec/obidos/ASIN/0884271587/ref=nosim/deliciousmons-20, Throughput Accounting, Thomas Corbett  
http://www.amazon.com/exec/obidos/ASIN/019286095X/ref=nosim/deliciousmons-20, To Mock a Mockingbird: And Other Logic Puzzles, Raymond M. Smullyan  
http://www.amazon.com/exec/obidos/ASIN/0070587477/ref=nosim/deliciousmons-20, The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer/International Edition, Jeffrey K. Liker  
http://www.amazon.com/exec/obidos/ASIN/0262162091/ref=nosim/deliciousmons-20, Types and Programming Languages, Benjamin C. Pierce  
http://www.amazon.com/exec/obidos/ASIN/9814021725/ref=nosim/deliciousmons-20, The Unknowable, Gregory J. Chaitin  
http://www.amazon.com/exec/obidos/ASIN/0201710889/ref=nosim/deliciousmons-20, Web Protocols and Practice: HTTP/1.1  Networking Protocols  Caching  and Traffic Measurement, Balachander Krishnamurthy  Jennifer Rexford  
http://www.amazon.com/exec/obidos/ASIN/093263334X/ref=nosim/deliciousmons-20, Why Does Software Cost So Much?: And Other Puzzles of the Information Age, Tom Demarco  
http://www.amazon.com/exec/obidos/ASIN/1556155514/ref=nosim/deliciousmons-20, Writing Solid Code, Steve Maguire  
